REF_AREA,REF_AREA_LABEL,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ABW,Aruba,70.79,70.1,70.09,70.52,71.28,72.14,77.65,80.87,79.94,79.39,76.43,64.9,67.5
AGO,Angola,63.33,64.57,64.57,67,67.66,66.7,65.71,61.9,59.76,59.23,59.41,57.91,57.89
AIA,Anguilla,72.17,70.6,70.82,70.86,70.74,70.21,70.36,70.3,70.36,70.35,70.44,70.63,70.87
ALB,Albania,62.95,63.27,63.86,66.55,66.16,66.7,67.38,67.52,71.79,71.7,71.19,65.38,69.68
ANT,Netherlands Antilles,74.66,74.98,74.97,74.92,77.45,77.45,77.44,77.44,76.61,76.51,76.33,76.35,76.34
ARE,United Arab Emirates,82.74,82.13,82.86,83.49,83.44,84.35,85.03,85.07,84.94,84.76,84.7,78.04,79.83
ARG,Argentina,65.39,68.36,69.8,68.81,69.52,69.48,69.08,69.96,70.57,71.24,75.25,68.09,65.98
ASC,Ascension Island,72.62,72.39,72.12,74.05,73.63,73.6,72.02,70.82,75.62,75.59,75.98,76.18,76.26
ASM,American Samoa,75.13,75.65,75.42,75.04,73.86,73.61,72.59,72.14,71.8,71.67,71.58,64.38,64.4
ATG,Antigua and Barbuda,78.2,77.49,77.8,78.87,79.04,78.97,79.08,79.56,78.61,79.15,79,73.66,74.64
AUS,Australia,75.01,75.15,75.46,75.34,74.96,74.99,74.51,74.96,75.13,74.95,74.99,75.05,75.03
BEL,Belgium,69.31,72.4,73.61,72.16,72.4,69.95,73.98,72.63,70.9,69.96,69.51,62.25,62.92
BEN,Benin,63.47,64.16,64.87,65.43,65.73,65.93,66.12,66.02,66.45,66.58,66.53,66.68,66.42
BES,Bonaire (Neth.),78.17,78.33,78.34,78.3,79.24,79.29,79.34,79.4,79.05,78.85,78.67,78.69,78.66
BGD,Bangladesh,71.08,69.77,70.06,69.64,69.39,69.99,71.51,72.27,74.01,74.23,78.38,76.27,75.09
BGR,Bulgaria,66.94,67.64,65.19,67.38,70.22,71.24,70.14,70.99,70.43,70.91,71.13,62.87,63.6
BHR,Bahrain,74.2,75.14,76.37,76.52,76.63,75.92,75.96,75.72,76.68,76.7,75.21,68.18,69.97
BHS,"Bahamas, The",73.31,77.14,77.07,77.72,79.07,79.6,80.03,79.93,79.02,79.51,79.95,73.24,75.08
BIH,Bosnia and Herzegovina,57.82,59.68,60.34,61.39,63.09,62.9,65.09,66.43,66.73,67.22,68.92,59.54,61.99
BLZ,Belize,69.45,70.92,67.96,72.74,72.53,72.84,73.3,72.02,72.95,73.73,73.88,68.71,69.98
BMU,Bermuda,70.86,68.12,68.57,68.18,68.72,68.34,68.01,69.33,70.04,70.01,69.94,61.15,61.73
BRA,Brazil,76.95,78.32,79.22,79.57,79.63,80.06,79.89,80.08,79.86,79.83,79.61,72.37,70.48
BRB,Barbados,62.23,62.17,62.73,62.25,62.05,62.27,63.74,65,65.08,65.11,62.04,57.53,56.78
BRN,Brunei Darussalam,65.23,65.81,66.89,65.65,65.48,63.28,63.72,64.5,68.08,66.19,68.02,61.53,59.28
BVT,Bouvet Island,67.99,68.06,68.81,70.62,70.3,70.79,70.79,72.17,68.47,70.13,71.5,72.05,67.56
CAN,Canada,77.24,77.18,75.52,74.63,74.86,75.54,74.96,73.19,72.11,71.7,72.04,63.75,63.79
CCK,Cocos (Keeling) Islands (Aus.),72.67,74.91,76.57,76.44,75.54,74.66,74.6,75,74.04,74,74.33,74.47,74.59
CHL,Chile,69.88,71.41,73.14,72.9,73.44,72.9,75.23,75.43,81.02,81.48,79.4,72.01,69.57
CHN,China,62.97,64.45,66.65,67.03,67.52,67.97,68.26,68.75,69.21,69.58,70.16,61.63,61.48
CIV,Cote d'Ivoire,58.68,59.58,59.11,58.74,57.86,56.06,55.57,54.76,54.32,54.82,54.65,54.84,54.93
CMR,Cameroon,67.93,68.38,68.5,68.82,68.91,69.22,69.55,70.47,69.92,69.92,69.51,64.31,64.33
COD,"Congo, Dem. Rep.",56.07,56.36,57.86,57.36,56.84,59.01,59.16,60.97,61.79,59.31,57.43,52.83,54.8
COG,"Congo, Rep.",55.59,58.49,59.71,61.32,59.72,55.03,52.93,51.52,49.62,49.25,49.14,47.54,47.83
COK,Cook Islands,66.88,68.06,67.81,67.33,65.28,63.35,67.08,65.63,63.7,62.47,61.86,61.86,61.88
COL,Colombia,67.23,65.17,66.78,67.02,67.09,69.63,71.36,69.08,69.42,70.27,70.6,63.79,64.96
COM,Comoros,70.71,74.61,77.5,78.79,77.99,76.25,75.62,76.37,75.78,77.11,78.38,71.46,75.96
CPV,Cabo Verde,67.6,68.59,68.27,71.46,70.39,68.93,67.97,68.8,68.17,68.32,67.37,59.76,59.51
CRI,Costa Rica,66.94,66.58,65.62,66.61,67.39,67,67.73,67.9,67.65,68.93,68.88,62.84,64.08
CUB,Cuba,65.75,66.65,67.16,67.63,67.72,68.01,69.66,71.16,71.93,72.08,72.03,64.98,63.79
CUW,Curacao,68.56,68.11,70.65,71.38,72.26,72.37,71.54,70.66,69.32,66.4,66.85,61.21,67.76
CXR,Christmas Island,69.92,70.51,71.05,71.09,70.84,70.32,70.48,70.64,70.3,69.79,69.91,70.02,70.05
CYM,Cayman Islands,70.52,70.73,71.14,71.59,72.58,73.18,73.05,72.75,73.03,73.29,73.09,64.44,62.48
CYP,Cyprus,62.49,62.17,62.5,63.43,64.17,65.95,66.53,68.67,68.48,68.32,68.63,59.97,62.41
DEU,Germany,72.42,73.28,73.84,75.46,75.37,75.56,76.37,77.23,74.91,75.64,76.35,69.85,69.41
DJI,Djibouti,69.26,71.12,71.93,72.3,72.44,70.26,73.45,76.12,78.93,79.62,79.58,74.32,74.2
DMA,Dominica,72.17,72.75,72.62,72.81,72.75,72.66,72.03,72.41,71.52,70.11,70.68,64.37,63.74
DNK,Denmark,69.19,69.59,68.6,69.08,69.06,71.72,71.92,71.94,71.22,71.99,72.44,67.33,68.05
DOM,Dominican Republic,65.08,65.65,66.28,67.18,67.64,68.69,69.81,70.45,70.54,70.74,70.75,63.99,66.91
DZA,Algeria,66.24,66.16,65.96,66.19,66.13,65.76,65.18,65.36,64.97,64.86,65.48,65.56,65.59
ECU,Ecuador,70.92,71.72,70.92,73.87,73.39,73.19,72.15,74.08,78.16,78.84,79.6,80.38,80.07
EGY,"Egypt, Arab Rep.",73,72.58,69.84,69.61,67.32,66.78,67.46,64.35,66.23,69.23,70.59,63.79,65.9
ERI,Eritrea,65.97,56.25,56.47,56.33,56.23,56.06,56,56.01,55.8,55.37,55.38,55.31,55.09
ESH,Western Sahara,73.94,73.76,72.73,72.55,72.3,71.83,71.71,71.48,71.4,71.06,71.14,71.16,71.22
ESP,Spain,74.39,73.41,74.36,75.54,76.02,76.69,77.38,77.16,76.51,76.02,76.38,68.64,69.61
EST,Estonia,76.76,79.17,80.44,80.14,79.8,80.23,80.33,80.86,79.67,78.73,79.33,71.9,71.39
FIN,Finland,78.27,79.6,79.96,78.97,75.91,75.3,75.24,76.14,77.21,76.2,76.5,69.09,69.05
FJI,Fiji,71.87,73.35,73.82,74.07,73.28,72.11,72.01,71.51,71.1,70.4,70.73,62.66,62.36
FLK,Falkland Islands,64.51,64.71,64.05,65.63,62.47,59.03,56.27,57.03,56.97,56.61,57.22,57.71,57.78
FRA,France,78.09,77.02,76.96,76.77,76.05,76.57,77.12,77.84,77.35,77.72,78.27,73.52,74.29
FRO,Faroe Islands,65.23,66.16,66.17,66.2,66.06,65.8,65.86,65.96,65.91,65.73,65.79,65.89,66.01
FSM,"Micronesia, Fed. Sts.",69.05,70.08,69.56,71.59,71.62,69.14,67.26,65.61,61.22,60.46,62,62.3,63.25
GAB,Gabon,70.01,71.36,71.01,71.25,73.05,72.98,73.98,73.06,71.74,71.22,68.92,68.74,68.78
GBR,United Kingdom,75.76,75.7,75.6,76.29,76.59,77.55,77.92,76.87,75.89,75.24,75,67.94,66.83
GEO,Georgia,61.78,62.5,63.49,66.77,67.74,67.95,67.6,67.31,68.98,69.35,69.48,61.73,62.29
GGY,Guernsey,65.18,64.57,65.49,65.48,65.41,65.82,65.86,66.24,65.88,65.37,65.53,65.5,65.55
GHA,Ghana,71.88,72.71,70.6,71.45,71.26,68.06,68.65,68.14,67.48,67.68,68.1,63.18,64.84
GIB,Gibraltar,56.2,58.51,58.27,58.11,56.93,55.9,55.98,56.14,56.22,55.96,57.31,57.46,57.44
GIN,Guinea,66.37,66.54,72.56,73.6,70.29,67.32,66.57,68.03,72.62,72.91,73.09,66.57,66.28
GMB,"Gambia, The",69.95,69.52,69.81,70.85,71.53,70.15,73.32,72.67,73.1,72.62,71.47,66.79,67.49
GNB,Guinea-Bissau,67.95,69.42,71.2,72.19,72.34,71.4,72.13,72.82,73.39,73.57,72.45,66.96,66.81
GNQ,Equatorial Guinea,65.35,64.14,64.25,63.97,63.5,63.24,63.38,63.29,61.78,62.98,62.99,63.13,63.08
GRC,Greece,66.68,66.84,66.64,66.26,67.18,68.97,69.42,69.7,69.83,69.64,70.46,62.63,64.69
GRD,Grenada,69.42,69.04,69.4,69.59,70.11,66.97,68.22,69.09,70.31,72.51,71.97,65.03,64.5
GRL,Greenland,79.68,79.47,82.39,82.4,82.52,82.22,82.5,82.26,82.18,81.95,81.82,82.13,82.43
GTM,Guatemala,68.25,68.39,68.27,67.79,68.3,68.81,69.41,70.09,72.42,73.01,72.39,65.43,65.22
GUF,French Guiana,73.93,74.13,74.21,74.19,74.03,74.03,74.16,74.23,74.2,74.31,74.39,74.45,74.44
GUY,Guyana,57.99,59.38,59.7,60.82,61.43,61.5,61.54,62.43,61.55,62.51,61.39,56.33,59.47
HMD,Heard Island and McDonald Islands,72.97,73.18,72.71,77.2,76.85,76.47,75.25,75.11,74.44,73.63,73.07,73.27,73.59
HND,Honduras,74.94,75.51,75.35,76.06,75.68,75.38,75.31,74.43,72.11,71.66,70.6,67.02,68.74
HRV,Croatia,63.95,63.8,66.24,67.7,68.29,68.96,70.17,71.26,71.88,71.02,71.06,64.42,67.12
HTI,Haiti,65.82,64.04,67.48,68.95,69.77,71.24,72.53,71.93,71.27,70.42,66.49,64.79,63.67
IDN,Indonesia,63.87,64.83,65.92,67.85,69.77,70.52,70.96,72.15,71.65,70.71,70.32,62.39,60.63
IND,India,59.13,60.37,60.47,60.73,60.58,63.55,63.16,63.55,64.24,64.21,64.47,57.46,57.43
IOT,British Indian Ocean Territory (UK),68.25,69.91,70.58,70.81,70.31,69.79,69.67,69.77,72.01,71.58,69.54,68.96,68.51
IRL,Ireland,68.71,69.24,67.15,68.33,70.43,72.67,74.27,74.51,75.23,75.06,74.89,67.04,66.81
IRN,"Iran, Islamic Rep.",68.81,71.42,71.93,71.64,70.98,70.52,70.45,70.95,71.43,71,71.46,71.48,71.32
IRQ,Iraq,73.37,75.55,75.2,76.07,75.77,75.95,75.81,75.79,79.4,79.13,78.31,77.61,76
ISL,Iceland,63.13,64.93,66.21,67.12,68.54,69.87,71.23,72.52,72.92,72.63,71.45,63.61,64.25
